Link,Image,Tên nhà hàng,Loại hình,Phong cách món ăn,Đối tượng phù hợp,Đánh giá trung bình,Tổng số bình luận,Bình luận tuyệt vời,Bình luận khá tốt,Bình luận trung bình,Bình luận kém,Điểm không gian,Điểm vị trí,Điểm chất lượng,Điểm phục vụ,Điểm giá cả,Đường,Quận,Thành phố,Giờ mở cửa,Khoảng giá
https://www.foody.vn/ha-noi/the-ramen-mafia-mi-ramen-com-nhat-mai-hac-de,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvd2ownl4g48b@resize_ss576x330,The Ramen Mafia - Mì Ramen & Cơm Nhật - Mai Hắc Đế,Quán ăn,,,10.0,152,152,0,0,0,10.0,9.8,10.0,10.0,10.0,"118 Mai Hắc Đế, P. Lê Đại Hành",Quận Hai Bà Trưng,Hà Nội,09:00 - 23:00,
https://www.foody.vn/ha-noi/com-tam-suon-cay-com-ga-ta-hai-phuc-26-hang-chuoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdl2tj7ctehcf@resize_ss576x330,Cơm Tấm Sườn Cây & Cơm Gà Ta - Hai Phúc - 26 Hàng Chuối,Quán ăn,,,10.0,151,151,0,0,0,10.0,10.0,10.0,10.0,10.0,"26 Hàng Chuối, P. Phạm Đình Hồ",Quận Hai Bà Trưng,Hà Nội,10:30 - 14:30,30.000đ - 50.000đ
https://www.foody.vn/ha-noi/tiem-ga-ran-ong-anh-tran-dai-nghia,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdutqfglpzt93@resize_ss576x330,Tiệm Gà Rán Óng Ánh - Trần Đại Nghĩa,Ăn vặt/vỉa hè,,,10.0,132,132,0,0,0,10.0,10.0,10.0,10.0,10.0,"8 Ngõ 183 Trần Đại Nghĩa, P. Bách Khoa",Quận Hai Bà Trưng,Hà Nội,00:01 - 02:00 | 09:00 - 23:59,35.000đ - 200.000đ
https://www.foody.vn/ha-noi/y-la-nhat-an-vat-mi-tron-indomie-87-chua-quynh,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lw5ft00alqe112@resize_ss576x330,Ý Là Nhất - Ăn Vặt & Mì Trộn Indomie - 87 Chùa Quỳnh,Quán ăn,,,10.0,57,57,0,0,0,10.0,10.0,10.0,10.0,10.0,"87 Chùa Quỳnh, P. Quỳnh Mai",Quận Hai Bà Trưng,Hà Nội,10:00 - 23:59,
https://www.foody.vn/ha-noi/com-thoong-shop-online,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8kzt0fb9ax20@resize_ss576x330,Cơm Thoong - Shop Online,Shop Online,Món Việt,"Sinh viên, Gia đình, Nhóm hội",10.0,27,27,0,0,0,10.0,10.0,10.0,10.0,10.0,82 Ngõ 17 Mạc Thị Bưởi,Quận Hai Bà Trưng,Hà Nội,10:00 - 23:00,30.000đ - 70.000đ
https://www.foody.vn/ha-noi/bun-cha-pho-co-ngoc-dung,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstwa4ypxcxw55@resize_ss576x330,Bún Chả Phố Cổ Ngọc Dung,Quán ăn,Món Việt,"Sinh viên, Gia đình",8.1,29,9,16,4,0,7.1,7.7,8.4,8.6,9.0,"Ki Ốt 6, Nhà 8, Ngõ Tự Do, P. Đồng Tâm",Quận Hai Bà Trưng,Hà Nội,07:00 - 22:00,15.000đ - 25.000đ
https://www.foody.vn/ha-noi/pepperonis-restaurant-bach-mai,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m3ol81lc9rjwd3@resize_ss576x330,Pepperonis Delivery Outlet - Bạch Mai,Nhà hàng,Quốc tế,"Cặp đôi, Gia đình, Nhóm hội",7.4,10,0,8,2,0,5.1,7.0,8.3,7.8,8.7,"510 Bạch Mai, P. Trương Định",Quận Hai Bà Trưng,Hà Nội,10:15 - 20:25,30.000đ - 220.000đ
https://www.foody.vn/ha-noi/mr-yaki-nuong-tang-nhat-ban,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwb3r6ekmy8p6f@resize_ss576x330,Mr Yaki - Nướng Tảng Nhật Bản,Nhà hàng,Món Nhật,"Cặp đôi, Gia đình, Nhóm hội",6.6,24,2,14,3,5,6.2,7.0,6.4,6.6,6.8,"8 Đường 9, Tầng B1, Times City, 458 Minh Khai",Quận Hai Bà Trưng,Hà Nội,10:00 - 22:00,100.000đ - 300.000đ
https://www.foody.vn/ha-noi/go-an-vat-cafe-tra-sua-au-co,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lwd9inp7kkwrac@resize_ss576x330,"GO - Ăn Vặt, Cafe & Trà Sữa - Âu Cơ",Shop Online,Món Bắc,,10.0,51,47,0,0,0,10.0,10.0,10.0,10.0,10.0,"4/1/34 Âu Cơ, P. Quảng An",Quận Tây Hồ,Hà Nội,09:00 - 22:00,
https://www.foody.vn/ha-noi/chao-long-ha-lo-chao-long-lac-long-quan.itayf9,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvexuvx5znoe7@resize_ss576x330,Cháo Lòng Hà Lô - Cháo Lòng - Lạc Long Quân,Ăn vặt/vỉa hè,Món Bắc,"Sinh viên, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch",10.0,12,12,0,0,0,10.0,10.0,10.0,10.0,10.0,"37 Ngõ 445 Lạc Long Quân, P. Xuân La",Quận Tây Hồ,Hà Nội,06:00 - 13:00,
https://www.foody.vn/ha-noi/king-bbq-buffet-sun-grand-city-thuy-khue,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw926xegso9nad@resize_ss576x330,King BBQ - Vua Nướng Hàn Quốc - Sun Grand City Thụy Khuê,Buffet,Món Hàn,"Gia đình, Nhóm hội, Giới văn phòng",10.0,1,1,0,0,0,10.0,10.0,10.0,10.0,10.0,"Tầng 4 Lô D+E, Toà Nhà Sun Grand City, 69B Thuỵ Khuê",Quận Tây Hồ,Hà Nội,10:00 - 14:00 | 17:30 - 22:00,200.000đ - 420.000đ
https://www.foody.vn/ha-noi/bun-bo-hue-me-vui,https://down-vn.img.susercontent.com/vn-11134259-7r98o-ly3fr0i0t40g82@resize_ss576x330,Bún Bò Huế - Mệ Vui,Quán ăn,,,9.9,53,53,0,0,0,9.8,9.6,10.0,10.0,10.0,"79 Nhật Chiêu, P. Nhật Tân",Quận Tây Hồ,Hà Nội,06:00 - 14:00 | 17:00 - 22:00,50.000đ - 85.000đ
https://www.foody.vn/ha-noi/nem-nuong-nha-trang-lac-long-quan,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lt2a2uw6lkexf4@resize_ss576x330,Nem Nướng Nha Trang - Lạc Long Quân,Quán ăn,,,9.9,52,52,0,0,0,9.9,9.8,10.0,10.0,10.0,"296A Lạc Long Quân, P. Xuân La",Quận Tây Hồ,Hà Nội,06:00 - 22:00,
https://www.foody.vn/ha-noi/banh-my-bit-tet-cutisun-hoang-hoa-tham,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstrluknlwuxd8@resize_ss576x330,Bánh Mỳ Bít Tết Cutisun - Hoàng Hoa Thám,Nhà hàng,Món Âu,"Cặp đôi, Gia đình, Giới văn phòng",7.3,272,7,214,34,17,7.3,6.8,7.5,7.1,7.7,"3 Ngõ 120 Hoàng Hoa Thám, P. Thụy Khuê",Quận Tây Hồ,Hà Nội,10:00 - 21:00,50.000đ - 165.000đ
https://www.foody.vn/ha-noi/truong-loc-bia-hoi-ha-noi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwako3ygi863c6@resize_ss576x330,Trường Lộc - Bia Hơi Hà Nội,"Nhà hàng,, Quán nhậu",Món Việt,"Gia đình, Nhóm hội",7.9,3,0,2,1,0,9.3,8.7,7.0,7.7,6.7,130 Đường Ven Hồ Tây,Quận Tây Hồ,Hà Nội,08:00 - 22:00,50.000đ - 150.000đ
https://www.foody.vn/ha-noi/the-fat-pig-con-heo-beo,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfvbq7pu3ffdd@resize_ss576x330,The Fat Pig - Con Heo Béo,Bar/Pub,Món Việt,"Nhóm hội, Giới văn phòng",7.7,23,1,19,2,1,8.0,8.1,7.9,8.0,6.6,"74 Quảng An, P. Quảng An",Quận Tây Hồ,Hà Nội,12:00 - 23:30,50.000đ - 160.000đ
https://www.foody.vn/ha-noi/xoi-huong-phung-khoang,https://down-vn.img.susercontent.com/vn-11134513-7ras8-m1csvzxqop5k3c@resize_ss576x330,Xôi Hương - Phùng Khoang,Quán ăn,,,10.0,252,251,0,0,0,10.0,10.0,10.0,10.0,10.0,"Số 7 Ngõ 29 Phùng Khoang, P. Trung Văn",Quận Nam Từ Liêm,Hà Nội,00:01 - 01:00 | 09:00 - 23:59,
https://www.foody.vn/ha-noi/mi-cay-seoul-82-my-dinh,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaqjw6hdnmj9f@resize_ss576x330,Mì Cay Seoul - 82 Mỹ Đình,Quán ăn,,,10.0,54,54,0,0,0,10.0,9.9,10.0,10.0,10.0,"82 Mỹ Đình, P. Mỹ Đình",Quận Nam Từ Liêm,Hà Nội,09:00 - 22:30,
https://www.foody.vn/ha-noi/laco-coffee-cafe-do-uong-khong-con-banh-healthy-luu-huu-phuoc,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgfxlb78f6ja8@resize_ss576x330,"Laco Coffee - Cafe, Đồ Uống Không Cồn & Bánh Healthy - Lưu Hữu Phước","Café/Dessert,, Tiệm bánh",Món Bắc,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",10.0,53,53,0,0,0,9.9,9.9,10.0,10.0,10.0,"Số 1 C12, Ngách 33/15 Lưu Hữu Phước, P. Cầu Diễn",Quận Nam Từ Liêm,Hà Nội,06:30 - 22:30,
https://www.foody.vn/ha-noi/chicken-friez,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgimuizmllnff@resize_ss576x330,Chicken & Friez,Quán ăn,Món Á,"Gia đình, Nhóm hội, Giới văn phòng",10.0,50,50,0,0,0,10.0,10.0,10.0,10.0,10.0,"34 TT4 KĐT Mỹ Đình Sông Đà, P. Mỹ Đình 1",Quận Nam Từ Liêm,Hà Nội,09:00 - 23:00,100.000đ - 330.000đ
https://www.foody.vn/ha-noi/pho-sach-my-dinh,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lz99ekm6elal55@resize_ss576x330,Phở Sạch - Mỹ Đình,Quán ăn,,,10.0,40,40,0,0,0,10.0,10.0,10.0,10.0,10.0,"N4-A10 Đường Mỹ Đình, P. Mỹ Đình 2",Quận Nam Từ Liêm,Hà Nội,05:00 - 23:00,
https://www.foody.vn/ha-noi/tiem-ga-ran-ong-anh-dinh-thon,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwh8hi9gyuajd1@resize_ss576x330,Tiệm Gà Rán Óng Ánh - Đình Thôn,Quán ăn,,,,0,0,0,0,0,,,,,,"20 Ngõ 394 Đường Mỹ Đình, Đình Thôn",Quận Nam Từ Liêm,Hà Nội,09:00 - 23:59,
https://www.foody.vn/ha-noi/let-s-sushi-ham-nghi,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvbjivlwe55cc@resize_ss576x330,Let's Sushi - Hàm Nghi,Quán ăn,,,,0,0,0,0,0,,,,,,"TT03-18 Khu Đô Thị HD Mon City, Hàm Nghi, P. Mỹ Đình",Quận Nam Từ Liêm,Hà Nội,10:00 - 14:00 | 17:00 - 22:00,49.000đ - 89.000đ
https://www.foody.vn/ha-noi/antidote-bar-jw-marriott-hotel-hanoi,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgwoj8597fdea@resize_ss576x330,Antidote Bar - JW Marriott Hotel Hanoi,"Sang trọng,, Bar/Pub",Quốc tế,"Nhóm hội, Giới Manager, Khách du lịch",9.0,1,1,0,0,0,10.0,8.0,9.0,9.0,9.0,"JW Marriott Hotel Hanoi, 8 Đỗ Đức Dục",Quận Nam Từ Liêm,Hà Nội,20:00 - 23:30,500.000đ - 5.000.000đ
https://www.foody.vn/ha-noi/nem-nuong-nha-trang-minh-duc-phao-dai-lang,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgtf3nts89nc5@resize_ss576x330,Nem Nướng Nha Trang Minh Đức - Pháo Đài Láng,Quán ăn,,,10.0,212,212,0,0,0,10.0,9.9,10.0,10.0,10.0,"24 Ngõ 102 Pháo Đài Láng, P. Láng Thượng",Quận Đống Đa,Hà Nội,08:00 - 23:00,
https://www.foody.vn/ha-noi/com-ga-hoi-an-vinh-ho,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9rowe4iztn68@resize_ss576x330,Cơm Gà Hội An - Vĩnh Hồ,Quán ăn,,,10.0,193,193,0,0,0,10.0,10.0,10.0,10.0,10.0,"110C2 Tập Thể Vĩnh Hồ, P. Thịnh Quang",Quận Đống Đa,Hà Nội,10:00 - 20:00,
https://www.foody.vn/ha-noi/bun-suon-moc-mang-kho-vinh-ho,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvcvtt5m2tg35@resize_ss576x330,Bún Sườn Mọc Măng Khô - Vĩnh Hồ,Quán ăn,,,10.0,175,175,0,0,0,10.0,10.0,10.0,10.0,10.0,"111C2 Tập Thể Vĩnh Hồ, P. Thịnh Quang",Quận Đống Đa,Hà Nội,10:00 - 20:00,
https://www.foody.vn/ha-noi/ga-ran-mellace-140-trung-liet,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwaerrvoor1587@resize_ss576x330,Gà Rán Mellace - 140 Trung Liệt,Quán ăn,,,10.0,152,152,0,0,0,10.0,9.8,10.0,10.0,10.0,"140 Phố Trung Liệt, P. Trung Liệt",Quận Đống Đa,Hà Nội,08:00 - 22:00,
https://www.foody.vn/ha-noi/k-town-do-an-han-quoc-giai-phong,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lymcdsn42h0hac@resize_ss576x330,K-Town - Đồ Ăn Hàn Quốc - Giải Phóng,Quán ăn,,,10.0,120,120,0,0,0,10.0,10.0,10.0,10.0,10.0,"20 Giải Phóng, P. Phương Mai",Quận Đống Đa,Hà Nội,09:00 - 21:00,40.000đ - 40.000đ
https://www.foody.vn/ha-noi/cha-go-tea-caf-e-yen-lang,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw7lh7q7ftndbc@resize_ss576x330,Cha Go Tea & Caf'e - Yên Lãng,Café/Dessert,Đài Loan,"Sinh viên, Gia đình",7.4,123,7,89,24,3,7.0,7.4,7.8,7.4,7.5,"42 Yên Lãng, P. Láng Hạ",Quận Đống Đa,Hà Nội,08:30 - 22:30,30.000đ - 80.000đ
https://www.foody.vn/ha-noi/le-petit-bit-tet,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdlihthjx0920@resize_ss576x330,Le Petit - Bít Tết,Nhà hàng,Quốc tế,"Cặp đôi, Gia đình, Giới văn phòng",7.7,51,0,43,8,0,7.5,7.8,7.6,7.8,7.8,"20/30 Ngõ Thông Phong, P. Quốc Tử Giám",Quận Đống Đa,Hà Nội,10:00 - 21:00,50.000đ - 100.000đ
