Link,Image,Tên nhà hàng,Loại hình,Phong cách món ăn,Đối tượng phù hợp,Đánh giá trung bình,Tổng số bình luận,Bình luận tuyệt vời,Bình luận khá tốt,Bình luận trung bình,Bình luận kém,Điểm không gian,Điểm vị trí,Điểm chất lượng,Điểm phục vụ,Điểm giá cả,Đường,Quận,Thành phố,Giờ mở cửa,Khoảng giá,Restaurant ID
https://www.foody.vn/ha-noi/xien-nuong-trung-hoa-le-van-huu,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwf16nw6um6za5@resize_ss576x330,Xiên Nướng Trung Hoa - Lê Văn Hưu,Ăn vặt/vỉa hè,Món Á,"Cặp đôi, Gia đình, Nhóm hội",9.3,51,42,7,2,0,9.1,9.3,9.4,9.2,9.2,88 Lê Văn Hưu,Quận Hai Bà Trưng,Hà Nội,16:00 - 22:00,10.000đ - 150.000đ,2830
https://www.foody.vn/ha-noi/nha-hang-tadian-chay-ramen,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lsvbxiex19s43a@resize_ss576x330,Nhà Hàng Tadian - Chay & Ramen,Ăn chay,Món Việt,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"Số 14 Phố Cổng Đục, P. Hàng Mã",Quận Hoàn Kiếm,Hà Nội,10:00 - 17:00,,1899
https://www.foody.vn/ha-noi/mi-cay-seoul-tran-dai-nghia,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lstxshyu1tc471@resize_ss576x330,Mì Cay Seoul - Trần Đại Nghĩa,Nhà hàng,Món Hàn,,6.6,84,4,48,13,19,6.7,7.1,6.3,6.4,6.4,91 Trần Đại Nghĩa,Quận Hai Bà Trưng,Hà Nội,08:00 - 22:00,30.000đ - 60.000đ,1730
https://www.foody.vn/ha-noi/yen-che-ngo-cho-dong-xuan,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw7bswx8gmhn10@resize_ss576x330,Chè Yến - Giải Khát - Hàng Chiếu,Ăn vặt/vỉa hè,Món Việt,"Sinh viên, Cặp đôi, Gia đình, Nhóm hội, Giới văn phòng, Giới Manager, Khách du lịch, Trẻ em",7.3,21,1,14,6,0,6.1,7.4,7.9,7.6,7.6,80 Hàng Chiếu,Quận Hoàn Kiếm,Hà Nội,09:00 - 17:00,15.000đ - 25.000đ,741
https://www.foody.vn/ha-noi/yutaka-am-thuc-nhat-ban,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8h8i1n844bda@resize_ss576x330,Sushidokoro Yutaka - Ẩm Thực Nhật Bản,Nhà hàng,Món Nhật,"Nhóm hội, Giới văn phòng, Giới Manager",7.4,19,3,12,1,3,7.4,7.3,8.5,6.3,7.4,"95 Xuân Diệu, P. Quảng An",Quận Tây Hồ,Hà Nội,11:00 - 14:00 | 17:00 - 22:30,100.000đ - 275.000đ,2341
https://www.foody.vn/ha-noi/ky-y-am-thuc-nhat-ban,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgr7xl2iy1l8f@resize_ss576x330,Kỷ Y - Ẩm Thực Nhật Bản,Nhà hàng,Món Nhật,"Gia đình, Giới văn phòng, Giới Manager",7.7,37,3,31,3,0,7.7,8.0,7.9,8.1,7.0,166 Triệu Việt Vương,Quận Hai Bà Trưng,Hà Nội,09:00 - 22:30,45.000đ - 275.000đ,1475
https://www.foody.vn/ha-noi/sushi-24-am-thuc-duong-pho-nhat-ban,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8bmic0hu5576@resize_ss800x450,Sushi 24 - Ẩm Thực Đường Phố Nhật Bản,Quán ăn,Món Nhật,"Cặp đôi, Nhóm hội",7.4,41,2,27,10,2,7.1,7.7,7.6,7.2,7.4,"285 Kim Mã (111/A5 TT Giảng Võ), P. Giảng Võ",Quận Ba Đình,Hà Nội,09:00 - 22:00,50.000đ - 200.000đ,2336
https://www.foody.vn/ha-noi/chay-dieu-quang-quan-an-chay-nguyen-cong-hoan,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwgd1qaiu2fvc9@resize_ss576x330,Chay Diệu Quang - Quán Ăn Chay - Nguyễn Công Hoan,"Quán ăn, Ăn chay",Món Việt,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"1 Ngách 7 Ngõ 105 Nguyễn Công Hoan, P. Ngọc Khánh",Quận Ba Đình,Hà Nội,07:00 - 21:00,,613
https://www.foody.vn/ha-noi/banh-mi-chay-co-chay-thuc-pham-chay-an-vui,https://down-vn.img.susercontent.com/vn-11134513-7r98o-lufsxp49b6s258@resize_ss576x330,"Bánh Mì Chay, Cỗ Chay & Thực Phẩm Chay An Vui",Ăn chay,Món Việt,,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,"68 - Ngách 70 Ngõ 29 Khương Hạ, P. Khương Đình",Quận Thanh Xuân,Hà Nội,08:00 - 22:00,50.000đ - 300.000đ,259
https://www.foody.vn/ha-noi/hana-yuki-nha-hang-hoa-tuyet,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwcyaeoi1bkp09@resize_ss576x330,Hanayuki - Nhà Hàng Hoa Tuyết,Nhà hàng,Món Nhật,"Gia đình, Nhóm hội, Khách du lịch",7.0,16,0,13,2,1,6.5,7.5,7.8,7.3,6.0,15 Đào Tấn,Quận Ba Đình,Hà Nội,08:00 - 22:00,50.000đ - 220.000đ,1170
